window,flat,adx,stop,R_NQ,pf_NQ,n_NQ,win_NQ,R_US100,pf_US100,n_US100,win_US100,R_US30,pf_US30,n_US30,win_US30,minR,minPF
09:30-11:00,flat 16:00,20,2.0,0.13430166888613956,1.354769621589092,111,0.43243243243243246,0.15825548662090055,1.3167911628417708,240,0.4708333333333333,0.0030468225021824166,0.9949993598059171,217,0.4377880184331797,0.13430166888613956,1.3167911628417708
09:30-11:00,flat 16:00,20,2.5,0.15916266990797978,1.4355850297551866,109,0.4954128440366973,0.1516587609785888,1.3820141459389885,239,0.5188284518828452,0.03204943003102676,1.050832698205989,214,0.48598130841121495,0.1516587609785888,1.3820141459389885
09:30-11:00,flat 16:00,20,3.0,0.07655406670330579,1.2540167728308906,109,0.4954128440366973,0.14042932217461643,1.4606001897847922,238,0.5504201680672269,0.0327514115881952,1.0422011225105452,214,0.5046728971962616,0.07655406670330579,1.2540167728308906
09:30-11:00,flat 16:00,25,2.0,0.0544132472311496,1.2120749563036233,86,0.4418604651162791,0.18703690356590214,1.3417349792951365,165,0.49696969696969695,-0.005559025483727854,1.0501423169536124,164,0.4329268292682927,0.0544132472311496,1.2120749563036233
09:30-11:00,flat 16:00,25,2.5,0.08545212921109019,1.2691784406460662,85,0.5058823529411764,0.21842242832336925,1.5624222847979485,164,0.5609756097560976,0.021250947936454156,1.1054068420296679,162,0.48148148148148145,0.08545212921109019,1.2691784406460662
09:30-11:00,flat 16:00,25,3.0,0.016940900860443326,1.1168799661616828,85,0.5058823529411764,0.16271215517575346,1.4848000642280867,163,0.5766871165644172,0.020966197198359383,1.1146174765020906,162,0.49382716049382713,0.016940900860443326,1.1168799661616828
09:30-11:00,hold (no flatten),20,2.0,0.054530862046935955,1.2129404357128617,111,0.3963963963963964,0.25195518704901415,1.5013691098813706,229,0.4104803493449782,0.1183040610860711,1.0783783588412765,211,0.3981042654028436,0.054530862046935955,1.2129404357128617
09:30-11:00,hold (no flatten),20,2.5,0.08121066384237696,1.2637350040159123,109,0.44954128440366975,0.2474827884286972,1.6349208321947468,227,0.44933920704845814,0.1258365881036547,1.1299269028788836,207,0.4492753623188406,0.08121066384237696,1.2637350040159123
09:30-11:00,hold (no flatten),20,3.0,0.04915351468314797,1.1992407812106145,109,0.46788990825688076,0.2828989288761316,2.0761327414001665,225,0.5022222222222222,0.12890933897571463,1.1276363946105965,204,0.46568627450980393,0.04915351468314797,1.1992407812106145
09:30-11:00,hold (no flatten),25,2.0,-0.017112641792451085,1.1028168231046271,86,0.38372093023255816,0.261958493988703,1.491990337358329,158,0.44936708860759494,0.11625467642453376,1.1549672569786924,158,0.3924050632911392,-0.017112641792451085,1.1028168231046271
09:30-11:00,hold (no flatten),25,2.5,0.011753460721170152,1.1291586937609301,85,0.43529411764705883,0.3095572282261567,1.8139962858209633,156,0.5064102564102564,0.11786646336693775,1.1893462111128672,156,0.4358974358974359,0.011753460721170152,1.1291586937609301
