ema,atr,osc,dist,vwap,ent1,tf,market,research_n,research_mean,research_net,research_pf,research_sh,research_dd,validation_n,validation_mean,validation_net,validation_pf,validation_sh,validation_dd,test_n,test_mean,test_net,test_pf,test_sh,test_dd
13,10,1,1.5,1.5,630,15,US30,509,1.3634577603143418,694.0,1.0232643893935838,0.08048146315157147,3141.0,164,5.2317073170731705,858.0,1.06,0.20541371453725793,3743.0,149,0.1664429530200561,24.79999999998836,1.001594547675689,0.004623082971124525,3691.699999999997
13,10,1,1.5,1.5,660,15,US30,566,1.5335689045936396,868.0,1.0252972720913966,0.08627390358872009,4356.0,183,1.1038251366120218,202.0,1.0123812442537543,0.045787190710044015,4282.0,167,-2.602395209580873,-434.6000000000058,0.9742280573790417,-0.08001850317755355,4000.9999999999927
13,10,1,1.5,1.5,720,15,US30,600,0.7666666666666667,460.0,1.0128884032389118,0.045400454727684864,4323.0,190,-0.48947368421052634,-93.0,0.9945591762709881,-0.020652205461941606,4706.0,175,-6.156571428571396,-1077.3999999999942,0.9393065374757066,-0.1970775877527299,4293.599999999991
13,10,1,1.5,1.5,840,15,US30,607,0.3640856672158155,221.0,1.0061232406073368,0.021777040563320003,4323.0,196,-5.877551020408164,-1152.0,0.9374490959439649,-0.24739442248374863,4944.0,178,-5.802808988763972,-1032.899999999987,0.9422082717872976,-0.1887340861400437,4127.799999999988
13,10,1,1.5,2.0,630,15,US30,584,2.4914383561643834,1455.0,1.0432597966343582,0.1592051611703178,2666.0,188,2.7127659574468086,510.0,1.0312423425630972,0.11583763135187947,4152.0,176,-8.352272727272892,-1470.000000000029,0.9209617928231142,-0.2648887372480767,4086.900000000016
13,10,1,1.5,2.0,660,15,US30,693,3.248196248196248,2251.0,1.0543129448666908,0.20287179589979715,3793.0,234,-2.948717948717949,-690.0,0.9674681753889675,-0.13779031703642594,4170.0,209,-5.689473684210658,-1189.1000000000276,0.9427306834655365,-0.2092260806078726,4037.2000000000335
13,10,1,1.5,2.0,720,15,US30,814,5.303439803439804,4317.0,1.0890176509402838,0.34217863251862196,2834.0,271,-8.977859778597786,-2433.0,0.9009203453331162,-0.46506169907663863,4551.0,239,-7.607531380753247,-1818.2000000000262,0.9206940470374754,-0.31458203590344597,4438.2000000000335
13,10,1,1.5,2.0,840,15,US30,869,5.448791714614499,4735.0,1.092354203237761,0.36739035246093743,3296.0,304,-8.740131578947368,-2657.0,0.9044072674941537,-0.4717191695706229,4016.0,257,-8.510505836576005,-2187.2000000000335,0.9106681914719804,-0.372957721104913,3898.000000000051
13,10,1,1.5,2.5,630,15,US30,603,1.6832504145936982,1015.0,1.029230503398226,0.10987059113319944,2666.0,191,4.340314136125654,829.0,1.0506105006105007,0.1868913921539409,4204.0,183,-11.056284153005599,-2023.3000000000247,0.8979378739116826,-0.3406341260540257,4866.3000000000175
13,10,1,1.5,2.5,660,15,US30,735,3.3020408163265307,2427.0,1.0548127738380233,0.21109181344537736,3793.0,246,1.646341463414634,405.0,1.0184099277239875,0.07761878831779313,4154.0,221,-10.328959276018185,-2282.700000000019,0.9000486029923673,-0.3706714020788779,4744.800000000032
13,10,1,1.5,2.5,720,15,US30,902,4.946784922394679,4462.0,1.0828413352641937,0.33909696029099273,3021.0,310,-1.0290322580645161,-319.0,0.9882083317931468,-0.055756812922774436,3922.0,267,-6.3183520599252025,-1687.000000000029,0.9350604357533286,-0.26268270261152127,5229.400000000045
13,10,1,1.5,2.5,840,15,US30,1050,6.878095238095238,7222.0,1.1207813492992609,0.5330704868987786,3641.0,383,-0.8067885117493473,-309.0,0.990705928354438,-0.04934584618351533,3967.0,307,-8.623127035830747,-2647.3000000000393,0.9082655596483494,-0.40433003436453413,5008.9000000000815
13,10,1,1.5,3.0,630,15,US30,603,1.6832504145936982,1015.0,1.029230503398226,0.10987059113319944,2666.0,192,2.2708333333333335,436.0,1.0259941572765754,0.09750733045031842,4204.0,190,-6.926842105263304,-1316.1000000000276,0.9345751185611584,-0.21999624769658935,3893.400000000038
13,10,1,1.5,3.0,660,15,US30,740,3.7324324324324323,2762.0,1.0621148742859714,0.23891837824423526,3793.0,247,0.048582995951417005,12.0,1.0005359056806002,0.002286546735847933,4154.0,230,-6.806521739130529,-1565.5000000000218,0.9327791351244575,-0.2522435394655307,3868.800000000032
13,10,1,1.5,3.0,720,15,US30,919,5.244831338411316,4820.0,1.0884063021588013,0.3651047427748392,3084.0,314,-1.694267515923567,-532.0,0.9806305978300445,-0.0931658697550827,3800.0,278,-3.855035971223168,-1071.7000000000407,0.9599057221422009,-0.1643750574435884,4154.6000000000495
13,10,1,1.5,3.0,840,15,US30,1091,7.751604032997251,8457.0,1.138478164759051,0.6190456852423182,3606.0,400,-3.2525,-1301.0,0.9625600736711848,-0.2047281702412675,3928.0,332,-5.878915662650699,-1951.800000000032,0.9354717130841853,-0.292569965006234,4014.70000000007
13,10,1,1.5,99.0,630,15,US30,604,2.0182119205298013,1219.0,1.0351054026033868,0.13178411634682488,2666.0,192,2.2708333333333335,436.0,1.0259941572765754,0.09750733045031842,4204.0,190,-6.926842105263304,-1316.1000000000276,0.9345751185611584,-0.21999624769658935,3893.400000000038
13,10,1,1.5,99.0,660,15,US30,742,3.9784366576819408,2952.0,1.0663669064748202,0.2551357371162511,3793.0,248,-0.2701612903225806,-67.0,0.9970183792443594,-0.012763595904090584,4154.0,230,-6.806521739130529,-1565.5000000000218,0.9327791351244575,-0.2522435394655307,3868.800000000032
13,10,1,1.5,99.0,720,15,US30,927,5.009708737864078,4644.0,1.0844609340899172,0.35068572159559014,3141.0,317,-1.2807570977917981,-406.0,0.9853238866396761,-0.07153851007928354,3595.0,279,-3.864516129032404,-1078.2000000000407,0.9596723518850973,-0.1653607910322252,4161.1000000000495
13,10,1,1.5,99.0,840,15,US30,1107,7.541102077687444,8348.0,1.1348082357690754,0.609183006924538,3663.0,408,-3.803921568627451,-1552.0,0.9564314187861434,-0.24287161956960354,4004.0,339,-4.917699115044329,-1667.1000000000276,0.9452895019247611,-0.24997969716648158,3746.70000000007
13,10,1,2.0,1.5,630,15,US30,324,-4.314814814814815,-1398.0,0.9374412672841992,-0.1714517899978429,3437.0,107,-22.364485981308412,-2393.0,0.7912960055817199,-0.6097304506025132,3657.0,100,-26.947000000000045,-2694.7000000000044,0.7661053727975001,-0.8544881082816034,3918.5999999999985
13,10,1,2.0,1.5,660,15,US30,338,-3.6153846153846154,-1222.0,0.9475311292400171,-0.14729608726702142,3121.0,115,-25.956521739130434,-2985.0,0.7582800226739007,-0.7434952020823183,4432.0,103,-23.516504854368904,-2422.199999999997,0.7897578335213963,-0.7658146200305589,3719.199999999997
13,10,1,2.0,1.5,720,15,US30,340,-3.3058823529411763,-1124.0,0.9518051625075037,-0.13538914432233587,3121.0,118,-24.593220338983052,-2902.0,0.7679699368353722,-0.7193774374567052,4225.0,106,-19.419811320754718,-2058.5,0.8224527992685937,-0.6447568987353178,3531.600000000006
13,10,1,2.0,1.5,840,15,US30,341,-3.1524926686217007,-1075.0,0.953906183003173,-0.12947459114621293,3121.0,118,-24.593220338983052,-2902.0,0.7679699368353722,-0.7193774374567052,4225.0,106,-19.419811320754718,-2058.5,0.8224527992685937,-0.6447568987353178,3531.600000000006
13,10,1,2.0,2.0,630,15,US30,388,-1.4149484536082475,-549.0,0.9783619738294183,-0.06383288513701456,2967.0,128,-12.515625,-1602.0,0.8739376770538244,-0.38681089264258256,3542.0,120,-27.585000000000036,-3310.2000000000044,0.7565922025971732,-0.9767109090330272,4494.399999999994
13,10,1,2.0,2.0,660,15,US30,428,-0.42289719626168226,-181.0,0.9935188169155298,-0.02013149221179833,2141.0,151,-16.304635761589402,-2462.0,0.8430247385870951,-0.5283207211369075,5457.0,133,-21.307518796992383,-2833.899999999987,0.7982730883671939,-0.8237598132713831,4018.4000000000087
13,10,1,2.0,2.0,720,15,US30,452,1.5176991150442478,686.0,1.023709131126011,0.0743454573127817,2302.0,158,-12.10126582278481,-1912.0,0.8793081681605858,-0.4071765855211523,4995.0,148,-13.974324324324305,-2068.199999999997,0.8605366258252023,-0.5784642714597068,3927.400000000016
13,10,1,2.0,2.0,840,15,US30,454,1.5726872246696035,714.0,1.02465895354861,0.07737319057733277,2302.0,158,-12.10126582278481,-1912.0,0.8793081681605858,-0.4071765855211523,4995.0,149,-12.069127516778494,-1798.2999999999956,0.8787365894117888,-0.500651445652462,3766.300000000003
13,10,1,2.0,2.5,630,15,US30,411,-0.829683698296837,-341.0,0.9870386559732411,-0.03914113793567808,3056.0,135,-7.4,-999.0,0.9218798873944323,-0.2386490749142359,3425.0,126,-31.13888888888889,-3923.5,0.7298218552668728,-1.1237613206448325,4985.100000000006
13,10,1,2.0,2.5,660,15,US30,478,1.6966527196652719,811.0,1.0262791225170929,0.0848955780764516,2278.0,171,-5.508771929824562,-942.0,0.9424521962245709,-0.19501785733911434,4871.0,146,-30.416438356164303,-4440.799999999988,0.7282019267256687,-1.196552979391378,5502.399999999994
13,10,1,2.0,2.5,720,15,US30,555,0.1009009009009009,56.0,1.0015628924674165,0.005489872798471164,3148.0,195,-6.81025641025641,-1328.0,0.9265446097682394,-0.2678317653248418,4629.0,176,-16.022159090909057,-2819.899999999994,0.8405719260951177,-0.720702032266617,4340.200000000004
13,10,1,2.0,2.5,840,15,US30,590,1.1084745762711865,654.0,1.017191525156406,0.061457769237956573,2819.0,204,-9.906862745098039,-2021.0,0.8985543620118462,-0.3814439850328123,5798.0,184,-15.000543478260782,-2760.099999999984,0.849281107852935,-0.6953198266631557,4098.999999999993
13,10,1,2.0,3.0,630,15,US30,412,-0.8203883495145631,-338.0,0.9871526853928313,-0.038796773486354595,3056.0,136,-10.463235294117647,-1423.0,0.8922948834392976,-0.3364606634643507,3425.0,133,-23.97218045112784,-3188.300000000003,0.7843688919849314,-0.8924955083732258,4249.900000000009
13,10,1,2.0,3.0,660,15,US30,485,2.1463917525773195,1041.0,1.0333932122922949,0.10798925235647906,2421.0,172,-7.941860465116279,-1366.0,0.9186565831001012,-0.2806148192960757,4871.0,153,-24.219607843137197,-3705.5999999999913,0.7768060424270903,-0.9782540637259493,4767.199999999997
13,10,1,2.0,3.0,720,15,US30,585,0.8991452991452992,526.0,1.014133705932932,0.05099853560167846,3248.0,203,-9.029556650246306,-1833.0,0.9044815007816571,-0.3616044532860262,4740.0,189,-12.674074074074081,-2395.4000000000015,0.8706084438874723,-0.5932622133761877,3864.0000000000073
13,10,1,2.0,3.0,840,15,US30,658,2.3282674772036476,1532.0,1.0362766687978027,0.1350931275556727,3225.0,236,-15.970338983050848,-3769.0,0.8391172578648568,-0.6686677108646941,6113.0,213,-14.35915492957743,-3058.4999999999927,0.8518965091447914,-0.7192626864970643,4228.5
