ema,atr,osc,dist,vwap,ent1,tf,market,research_n,research_mean,research_net,research_pf,research_sh,research_dd,locked_n,locked_mean,locked_net,locked_pf,locked_sh,locked_dd
13,10,1,1.5,1.5,630,5,NQ,235,4.569361702126495,1073.7999999997264,1.1026757071265536,0.4234620961886751,823.3500000000349,126,28.53396825396709,3595.2799999998533,1.541711554658856,1.3555243491835032,839.4000000000233
13,10,1,1.5,1.5,660,5,NQ,236,4.2206779661005305,996.0799999997253,1.0945416096788891,0.39031346832303243,824.9700000000303,127,28.010314960628758,3557.309999999852,1.5329415148781866,1.3409593483256481,839.4000000000233
13,10,1,1.5,1.5,720,5,NQ,244,6.272827868851295,1530.569999999716,1.1426636665634862,0.5755406453414804,844.5800000001909,136,32.76713235294001,4456.329999999842,1.649537879858936,1.6209281579050183,902.4700000000303
13,10,1,1.5,1.5,840,5,NQ,324,1.16657407407291,377.9699999996228,1.027594993082424,0.1317614799977437,1417.1700000002456,168,28.43773809523693,4777.539999999804,1.5681811694860128,1.648330237341805,933.2800000000279
13,10,1,1.5,2.0,630,5,NQ,345,5.951014492752459,2053.0999999995984,1.1397558442053206,0.683476986032531,1185.9000000001106,185,19.581351351350186,3622.5499999997846,1.360431935271372,1.2603865202168663,992.2200000000303
13,10,1,1.5,2.0,660,5,NQ,365,6.698493150683768,2444.949999999575,1.1608198097222355,0.7956823768437639,1132.990000000078,192,18.759166666665504,3601.7599999997765,1.343378605381902,1.2375516305875163,999.3700000000827
13,10,1,1.5,2.0,720,5,NQ,389,6.767789203083669,2632.669999999547,1.1635218055368048,0.8242834907685385,1236.1200000000827,207,25.928550724636516,5367.209999999759,1.4905257385701283,1.6877023503911672,1067.6900000000314
13,10,1,1.5,2.0,840,5,NQ,497,2.27849094567288,1132.4099999994214,1.0563543665041544,0.331641133008369,2353.800000000163,250,24.054999999998834,6013.749999999709,1.4725621255649641,1.8333338272845736,988.960000000021
13,10,1,1.5,2.5,630,5,NQ,413,5.844769975785761,2413.889999999519,1.1408080088058297,0.7556644762750852,1072.3600000001315,221,18.197420814478473,4021.6299999997427,1.3270096436876697,1.3160983330466665,1374.3400000000256
13,10,1,1.5,2.5,660,5,NQ,461,6.53976138828517,3014.8299999994633,1.1644184874609198,0.9043669573254669,1309.7600000000675,238,15.294705882351778,3640.139999999723,1.2683257998602169,1.1507468524063718,1612.2200000000303
13,10,1,1.5,2.5,720,5,NQ,503,5.992226640157882,3014.0899999994144,1.1503358764309595,0.8637155954656369,1253.2000000000698,264,22.344393939392774,5898.919999999693,1.4056607601273616,1.6683605549114315,1450.4100000000326
13,10,1,1.5,2.5,840,5,NQ,629,2.909968203496451,1830.3699999992677,1.0745099619627916,0.49157303307498984,1604.1700000002165,322,20.481086956520574,6594.909999999625,1.3952328099847868,1.8184744225041416,1401.4800000000396
13,10,1,1.5,3.0,630,5,NQ,424,5.044150943395063,2138.7199999995064,1.1201061160492367,0.6554612554205598,1087.030000000057,228,17.29535087719182,3943.3399999997346,1.3099725034154321,1.2836382467369412,1374.3400000000256
13,10,1,1.5,3.0,660,5,NQ,481,6.2425779625767985,3002.67999999944,1.1564943204175393,0.8714186327126292,1425.8300000000745,252,13.15896825396709,3316.0599999997066,1.2315744191714222,1.0409750715718895,1721.6900000000314
13,10,1,1.5,3.0,720,5,NQ,539,5.212745825601805,2809.6699999993725,1.128966530861016,0.7661965733986968,1430.240000000078,289,20.208200692040357,5840.169999999664,1.3627358180013343,1.6031314083519592,1778.100000000035
13,10,1,1.5,3.0,840,5,NQ,687,2.5158078602608445,1728.3599999992002,1.0647412649336192,0.4424190471495754,1408.3600000003935,361,17.695512465372797,6388.07999999958,1.3398827876636812,1.7117665071771397,1538.3600000000442
13,10,1,1.5,99.0,630,5,NQ,426,5.02002347417724,2138.529999999504,1.119635431730411,0.6539438792729302,1087.030000000057,228,17.29535087719182,3943.3399999997346,1.3099725034154321,1.2836382467369412,1374.3400000000256
13,10,1,1.5,99.0,660,5,NQ,484,6.36212809917239,3079.2699999994365,1.159915390935186,0.8914952636749712,1425.8300000000745,252,13.15896825396709,3316.0599999997066,1.2315744191714222,1.0409750715718895,1721.6900000000314
13,10,1,1.5,99.0,720,5,NQ,548,5.049160583940441,2766.939999999362,1.1248808483596482,0.7519756429403163,1430.240000000078,290,19.598965517240217,5683.699999999662,1.349619636324691,1.5515180015722079,1930.5200000000477
13,10,1,1.5,99.0,840,5,NQ,722,2.3367867035999437,1687.1599999991595,1.0604260510073265,0.42257354397084235,1433.770000000426,374,16.878930481282257,6312.719999999565,1.3288599519581392,1.6825319789536355,1688.4300000001094
13,10,1,2.0,1.5,630,5,NQ,134,25.76880597014809,3453.019999999844,1.6434230729096413,1.6118184250786936,588.5200000000186,75,-5.110000000001164,-383.2500000000873,0.9384888726250069,-0.17721621331963175,3313.500000000029
13,10,1,2.0,1.5,660,5,NQ,134,25.76880597014809,3453.019999999844,1.6434230729096413,1.6118184250786936,588.5200000000186,75,-5.110000000001164,-383.2500000000873,0.9384888726250069,-0.17721621331963175,3313.500000000029
13,10,1,2.0,1.5,720,5,NQ,134,25.76880597014809,3453.019999999844,1.6434230729096413,1.6118184250786936,588.5200000000186,75,-5.110000000001164,-383.2500000000873,0.9384888726250069,-0.17721621331963175,3313.500000000029
13,10,1,2.0,1.5,840,5,NQ,146,26.95979452054678,3936.12999999983,1.6828532469154263,1.7379484505072467,651.710000000021,78,-8.88987179487296,-693.4100000000908,0.8939860015839055,-0.3195045065082987,3425.2200000000303
13,10,1,2.0,2.0,630,5,NQ,201,12.423034825869482,2497.029999999766,1.2761379633714893,0.962993869866028,841.9500000000407,107,4.840747663550237,517.9599999998754,1.0638259855899703,0.2128197993196798,3253.7300000000396
13,10,1,2.0,2.0,660,5,NQ,201,12.423034825869482,2497.029999999766,1.2761379633714893,0.962993869866028,841.9500000000407,107,4.840747663550237,517.9599999998754,1.0638259855899703,0.2128197993196798,3253.7300000000396
13,10,1,2.0,2.0,720,5,NQ,202,14.75896039603844,2981.309999999765,1.3296928237061898,1.11288618462769,841.9500000000407,109,3.867155963301588,421.5199999998731,1.0508289611246076,0.17235751676671213,3431.4500000000407
13,10,1,2.0,2.0,840,5,NQ,221,14.628416289591597,3232.8799999997427,1.3277220797388365,1.1452834955301425,982.240000000078,115,0.5299999999988358,60.94999999986612,1.006965308307729,0.024859835275057224,3643.890000000043
