type,pair,lag,n,pct,pf,win,pf_res,pf_hold,n_res,n_hold,ratio,p_entry,p_le0,t
ema,9/21,4.0/10.0,54,0.020114140062863915,1.511743978100777,0.6666666666666666,5.115738032968067,1.6170544329092844,14,14,0.40832872125603,0.03,0.11466666666666667,1.1441370769593961
ema,13/48,6.0/23.5,39,0.05928969583187051,3.1489304055578042,0.7948717948717948,3.2764821582184998,3.070216726085949,19,20,0.9963394028684442,0.0025,0.004666666666666667,2.7917430068373807
ema,21/55,10.0/27.0,29,-0.0018911981853027425,0.9651566993741474,0.6551724137931034,0.95175697890897,1.1089426470769594,10,10,-0.025720451093941492,0.43,0.5323333333333333,-0.07206870396522407
sma,9/21,4.0/10.0,42,-0.00673947746658776,0.8703852771183425,0.5952380952380952,1.086212307845142,1.7579526118952895,13,10,-0.1185596918130753,0.635,0.6326666666666667,-0.332204256460237
sma,13/48,6.0/23.5,31,0.026642107260117932,1.7723387153580852,0.7096774193548387,2.259807733671048,1.5902809328237733,13,14,0.40726004999851073,0.0775,0.14,1.1411426600958272
sma,21/55,10.0/27.0,25,-0.02146229478575383,0.6381499857137348,0.56,0.012791175535528445,1.7791940708021676,7,6,-0.29321423404495545,0.91,0.791,-0.8215862837939653
wma,9/21,2.7/6.7,64,0.0093512597559517,1.2056418439600443,0.609375,4.359814260858967,1.3406439748140562,15,15,0.20383726086264156,0.145,0.286,0.5711520049371217
wma,13/48,4.0/15.7,34,0.022734567880878465,1.5182220006334128,0.6764705882352942,2.012400469554006,2.5858180162610758,12,13,0.33324733760258424,0.115,0.18066666666666667,0.9337590399624411
wma,21/55,6.7/18.0,35,0.0467189834564627,2.3672789707532846,0.7142857142857143,3.3916296169373545,2.3844274597703046,16,17,0.7161707478246663,0.0275,0.028,2.006710435404715
hull,9/21,0.0/0.7,94,-0.002785262335681209,0.923702093765301,0.48936170212765956,1.5991462354895971,0.9572198829136975,21,20,-0.09560487873866035,0.6025,0.6116666666666667,-0.26788487022572627
hull,13/48,0.3/1.7,58,0.019486660118753676,1.4711556795172056,0.603448275862069,2.3605802457761214,5.045525476358181,15,11,0.4070694987809004,0.105,0.122,1.1406087355840828
hull,21/55,0.7/1.3,39,-0.011394119230201647,0.8137202301943882,0.5641025641025641,0.7877528178735043,0.9699853589680646,7,8,-0.17901958193723438,0.69,0.6983333333333334,-0.5016128685881308
linreg,9/21,0.0/0.0,88,-0.006467813174703788,0.8559900420311695,0.48863636363636365,1.3689762494234303,0.7864320707498655,20,19,-0.19000083280226548,0.72,0.7023333333333334,-0.532382333511948
linreg,13/48,0.0/0.0,43,0.019160766823342903,1.477071763654788,0.6976744186046512,2.308901642188773,3.883726685834883,10,7,0.339381157137207,0.15,0.16333333333333333,0.950946002298454
linreg,21/55,0.0/0.0,30,-0.011937759849377404,0.8000422904794089,0.5666666666666667,0.8740869894371582,1.2980539981102805,7,6,-0.16758257118199135,0.58,0.684,-0.4695663644519397
