,incumbent 30m,15m preset,Pareto 15m,"15m, gate OFF","15m, k=2","15m, k=5","15m, w=10","15m, w=40","15m, no target","15m, stop 2.0N",15m + CHOP<=45,15m + MA200 floor,15m + prior RTH high,"30m, gate OFF","30m, no target"
incumbent 30m,1.0,0.5429098117150379,0.5961444944291147,0.48932632263035075,0.576026999226147,0.6256128313318733,0.5259563260510973,0.4617952016052546,0.7182717678613671,0.5562764827091164,0.6102696628728767,0.22959072678403378,0.21552918078585018,0.6735112966763767,1.0
15m preset,0.5429098117150379,1.0,0.6534709056978049,0.6183590188272997,0.8480094547853758,0.7526903137624705,0.8209562499379457,0.8664639481330046,0.8631797072173742,0.9467995935421343,0.643465066334467,0.5560014041398754,0.47373496608146176,0.43143987412402207,0.5429098117150379
Pareto 15m,0.5961444944291147,0.6534709056978049,1.0,0.5202118493519732,0.6196343045330565,0.7020448966513203,0.6235176439811833,0.5976368578765042,0.626714976885374,0.6689213480937326,0.5735997816710052,0.3722349904588432,0.23368374697420305,0.5128789100063517,0.5961444944291145
"15m, gate OFF",0.48932632263035075,0.6183590188272997,0.5202118493519732,1.0,0.7303581776942565,0.514816569473888,0.5121013439363531,0.7452753845675287,0.6400863447339619,0.5805388532682282,0.4597111999957345,0.28563519183781916,0.20101354099477023,0.5790670171877893,0.48932632263035075
"15m, k=2",0.576026999226147,0.8480094547853758,0.6196343045330565,0.7303581776942565,1.0,0.67992353301521,0.674938036344459,0.8002016801224469,0.7731834340084239,0.7985381054156475,0.5454331150541335,0.44244186346138675,0.376348711762354,0.4646413349602968,0.5760269992261469
"15m, k=5",0.6256128313318733,0.7526903137624705,0.7020448966513203,0.514816569473888,0.67992353301521,1.0,0.5636281165084017,0.6565535489032875,0.7399779753312834,0.7078199759900966,0.5367713683219245,0.35441635941275107,0.3864040965122604,0.4136513209620817,0.6256128313318733
"15m, w=10",0.5259563260510973,0.8209562499379457,0.6235176439811833,0.5121013439363531,0.674938036344459,0.5636281165084017,1.0,0.6821354803839494,0.7205374824441658,0.7999941669827979,0.6846094203282528,0.482946552204538,0.345883637254568,0.38353193622426945,0.5259563260510973
"15m, w=40",0.4617952016052546,0.8664639481330046,0.5976368578765042,0.7452753845675287,0.8002016801224469,0.6565535489032875,0.6821354803839494,1.0,0.765677925248564,0.8194710575655959,0.5595206719542557,0.5004075372423399,0.40682656387245864,0.43555966207993213,0.4617952016052546
"15m, no target",0.7182717678613671,0.8631797072173742,0.626714976885374,0.6400863447339619,0.7731834340084239,0.7399779753312834,0.7205374824441658,0.765677925248564,1.0,0.8455049304948967,0.7178331793776076,0.34620294686435393,0.30718435770279373,0.579158141970187,0.7182717678613669
"15m, stop 2.0N",0.5562764827091164,0.9467995935421343,0.6689213480937326,0.5805388532682282,0.7985381054156475,0.7078199759900966,0.7999941669827979,0.8194710575655959,0.8455049304948967,1.0,0.6855202588675685,0.5129759960421035,0.4447508362668021,0.44418946651560004,0.5562764827091164
15m + CHOP<=45,0.6102696628728767,0.643465066334467,0.5735997816710052,0.4597111999957345,0.5454331150541335,0.5367713683219245,0.6846094203282528,0.5595206719542557,0.7178331793776076,0.6855202588675685,1.0,0.49061896626943513,0.326525525612363,0.501446646235201,0.6102696628728767
15m + MA200 floor,0.22959072678403378,0.5560014041398754,0.3722349904588432,0.28563519183781916,0.44244186346138675,0.35441635941275107,0.482946552204538,0.5004075372423399,0.34620294686435393,0.5129759960421035,0.49061896626943513,1.0,0.6413396513371269,0.21785488865595276,0.22959072678403378
15m + prior RTH high,0.21552918078585018,0.47373496608146176,0.23368374697420305,0.20101354099477023,0.376348711762354,0.3864040965122604,0.345883637254568,0.40682656387245864,0.30718435770279373,0.4447508362668021,0.326525525612363,0.6413396513371269,1.0,0.19839629159230032,0.21552918078585018
"30m, gate OFF",0.6735112966763767,0.43143987412402207,0.5128789100063517,0.5790670171877893,0.4646413349602968,0.4136513209620817,0.38353193622426945,0.43555966207993213,0.579158141970187,0.44418946651560004,0.501446646235201,0.21785488865595276,0.19839629159230032,1.0,0.6735112966763765
"30m, no target",1.0,0.5429098117150379,0.5961444944291145,0.48932632263035075,0.5760269992261469,0.6256128313318733,0.5259563260510973,0.4617952016052546,0.7182717678613669,0.5562764827091164,0.6102696628728767,0.22959072678403378,0.21552918078585018,0.6735112966763765,1.0
